trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
36,True,"{'a': 0, 'e': 0}",20,16,5.229266750215555,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,True,"{'a': 0, 'e': 0}",30,18,23.346022647342597,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,True,"{'a': 0, 'e': 0}",25,15,18.15598342921903,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,True,"{'a': 0, 'e': 0}",25,13,23.17359991407438,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,True,"{'a': 0, 'e': 0}",20,12,13.416073818528943,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,True,"{'a': 0, 'e': 0}",20,5,24.099496404224997,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,True,"{'a': 0, 'e': 0}",20,16,6.951591699749464,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,True,"{'a': 0, 'e': 0}",25,19,12.06006605575935,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,True,"{'a': 0, 'e': 0}",25,19,13.506872760323557,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,True,"{'a': 0, 'e': 0}",25,15,20.75297689590073,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,True,"{'a': 0, 'e': 0}",25,14,21.835648970514743,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,True,"{'a': 0, 'e': 0}",20,9,19.497226353662114,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,True,"{'a': 0, 'e': 0}",35,28,14.404964572677473,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,True,"{'a': 0, 'e': 0}",20,9,23.83629279884075,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,True,"{'a': 0, 'e': 0}",25,10,26.704647942742238,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,True,"{'a': 0, 'e': 0}",20,0,23.468000428937554,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
52,True,"{'a': 0, 'e': 0}",25,13,19.593965701017897,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,True,"{'a': 0, 'e': 0}",25,18,14.443268986093187,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,True,"{'a': 0, 'e': 0}",20,16,6.2675870328149115,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,True,"{'a': 0, 'e': 0}",25,11,26.631649951931152,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,True,"{'a': 0, 'e': 0}",20,9,21.639243413845588,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,True,"{'a': 0, 'e': 0}",20,9,19.644130381414715,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,True,"{'a': 0, 'e': 0}",25,20,8.704333885333632,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,True,"{'a': 0, 'e': 0}",20,10,19.610551618198503,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,True,"{'a': 0, 'e': 0}",20,0,25.24733569213284,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
61,True,"{'a': 0, 'e': 0}",25,20,8.468358372894976,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,True,"{'a': 0, 'e': 0}",20,9,21.00485625223964,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,True,"{'a': 0, 'e': 0}",30,14,31.86954076630789,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,True,"{'a': 0, 'e': 0}",20,7,21.74745927363289,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,True,"{'a': 0, 'e': 0}",20,12,15.4526749028589,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,True,"{'a': 0, 'e': 0}",30,16,27.64174940232909,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,True,"{'a': 0, 'e': 0}",30,9,40.380997976389615,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,True,"{'a': 0, 'e': 0}",30,13,31.834268718016194,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,True,"{'a': 0, 'e': 0}",25,14,22.680497801915415,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,True,"{'a': 0, 'e': 0}",20,16,7.885168626896873,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,True,"{'a': 0, 'e': 0}",20,0,31.189716304517574,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
72,True,"{'a': 0, 'e': 0}",25,9,31.305982858213387,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,True,"{'a': 0, 'e': 0}",30,20,16.9817816112458,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,True,"{'a': 0, 'e': 0}",25,15,14.073137380961272,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,True,"{'a': 0, 'e': 0}",30,10,34.45671795235419,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,True,"{'a': 0, 'e': 0}",30,24,11.729873529745253,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,True,"{'a': 0, 'e': 0}",25,10,27.932152189743235,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,True,"{'a': 0, 'e': 0}",25,11,26.455074234894457,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,True,"{'a': 0, 'e': 0}",25,16,13.853029491377285,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,True,"{'a': 0, 'e': 0}",25,0,38.90869411828361,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
